File Name,Depth,File Type,Parent Directories,GitHub URL,Lines
http://CodeEditorAgent.java,6,Java,"agent, multiagent",https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/multiagent/agent/CodeEditorAgent.java,522
http://Collision.java,6,Java,"collision, multiagent",https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/multiagent/collision/Collision.java,87
http://CollisionResolution.java,6,Java,"collision, multiagent",https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/multiagent/collision/CollisionResolution.java,142
http://EnhancedBaseAgent.java,6,Java,"agent, multiagent",https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/multiagent/agent/EnhancedBaseAgent.java,116
http://EventBus.java,6,Java,"core, multiagent",https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/multiagent/core/EventBus.java,117
http://GroupTaskRequest.java,6,Java,"core, multiagent",https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/multiagent/core/GroupTaskRequest.java,57
http://HealthSeverity.java,6,Java,"core, multiagent",https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/multiagent/core/HealthSeverity.java,31
http://MemoryManager.java,6,Java,"memory, multiagent",https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/multiagent/memory/MemoryManager.java,214
http://Message.java,6,Java,"communication, multiagent",https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/multiagent/communication/Message.java,92
http://MessageBus.java,6,Java,"communication, multiagent",https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/multiagent/communication/MessageBus.java,512
